ds,y
2015-01-01,220.5
2015-02-01,210.3
2015-03-01,230.0
2015-04-01,240.1
2015-05-01,245.3
2015-06-01,250.4
2015-07-01,255.6
2015-08-01,260.0
2015-09-01,258.5
2015-10-01,265.2
2015-11-01,270.1
2015-12-01,280.3
2016-01-01,225.4
2016-02-01,215.6
2016-03-01,235.1
2016-04-01,245.5
2016-05-01,250.7
2016-06-01,255.9
2016-07-01,260.2
2016-08-01,265.6
2016-09-01,263.3
2016-10-01,270.0
2016-11-01,275.8
2016-12-01,285.6
2017-01-01,230.2
2017-02-01,220.3
2017-03-01,240.5
2017-04-01,250.2
2017-05-01,255.9
2017-06-01,260.4
2017-07-01,265.1
2017-08-01,270.3
2017-09-01,268.0
2017-10-01,275.6
2017-11-01,280.7
2017-12-01,290.8
2018-01-01,235.0
2018-02-01,225.1
2018-03-01,245.3
2018-04-01,255.7
2018-05-01,260.5
2018-06-01,265.9
2018-07-01,270.2
2018-08-01,275.4
2018-09-01,273.1
2018-10-01,280.5
2018-11-01,285.3
2018-12-01,295.1
2019-01-01,240.8
2019-02-01,230.4
2019-03-01,250.2
2019-04-01,260.9
2019-05-01,265.6
2019-06-01,270.3
2019-07-01,275.2
2019-08-01,280.1
2019-09-01,277.8
2019-10-01,285.2
2019-11-01,290.9
2019-12-01,300.7
2020-01-01,245.3
2020-02-01,235.5
2020-03-01,255.8
2020-04-01,265.0
2020-05-01,270.1
2020-06-01,275.4
2020-07-01,280.6
2020-08-01,285.0
2020-09-01,282.4
2020-10-01,290.0
2020-11-01,295.5
2020-12-01,305.9
2021-01-01,250.2
2021-02-01,240.1
2021-03-01,260.5
2021-04-01,270.3
2021-05-01,275.8
2021-06-01,280.2
2021-07-01,285.6
2021-08-01,290.1
2021-09-01,288.3
2021-10-01,295.4
2021-11-01,300.6
2021-12-01,310.8
2022-01-01,255.9
2022-02-01,245.3
2022-03-01,265.4
2022-04-01,275.2
2022-05-01,280.7
2022-06-01,285.0
2022-07-01,290.3
2022-08-01,295.2
2022-09-01,292.6
2022-10-01,300.3
2022-11-01,305.9
2022-12-01,315.4
2023-01-01,260.7
2023-02-01,250.8
2023-03-01,270.3
2023-04-01,280.5
2023-05-01,285.2
2023-06-01,290.7
2023-07-01,295.0
2023-08-01,300.1
2023-09-01,298.2
2023-10-01,305.7
2023-11-01,310.5
2023-12-01,320.1
2024-01-01,265.3
2024-02-01,255.0
